Chaoborus sp.;;Chaoboridae;Dipt;"lake flies phantom
midges";Afr;"East African lakes (Bergier, 1941;
Ayieko, M.A. & Nyambuga, I.A.";;
Chironomidae gen.;;Chironomidae;Dipt;non biting midges;Afr;"Kenya Tanzania Uganda (Ayieko,
M.A.& Nyambuga, I.A. 2009)";;adult
Culicidae gen.;;Culicidae;Dipt;;Afr;Botswana (DeFoliart 2002);;
Caenis;kungu Kimm.;Caenidae;Eph;mayfly;Afr;Malawi (Grant 2001, DeFoliart 2002);;adult
Povilla;adusta Navas;Polymitarcidae;Eph;mayfly;Afr;"Kenya Tanzania Uganda (Grant
2001, Ayieko, M.A.& Nyambuga, I.A.";;adult
Belostoma sp.;;Belostomatidae;Hem Het;giant water bugs;Afr;Congo (Bani, 1995, Hoare 2007,;;
Limnogeton;fieberi Mayr;Belostomatidae;Hem Het;;Afr;Togo (Tchibozo 2015);;
Carlisis;wahlbergi Stål;Coreidae;Hem Het;tip wilter;Afr;Zimbabwe (Chavanduka, 1976);"Petascelis wahlbergi (Stal)
SYN";adult
Petascelis;remipes Signoret;Coreidae;Hem Het;;Afr;"Zimbabwe (Chavanduka, 1976;";;adult
Petascelis;wahlbergi (Stål) syn;Coreidae;Hem Het;;Afr;Zimbabwe (Chavanduka, 1976);Carlisis wahlbergi Stal;
Coreidae gen.;;Coreidae;Hem Het;;Afr;Benin (Reggi et al 2013);;
Coridius;viduatus (Fabr.);Dinidoridae;Hem Het;melon bug;Afr;"Sudan, Namibia (Van Huis 2013,
Kelemu et al 2015) Zimbabwe";;adult
Nepa sp.;;Nepidae;Hem Het;water scorpions;Afr;Madagascar (Decary, 1937);;adult
Nepidae gen.;;Nepidae;Hem Het;water scorpions;Afr;D.R. Congo (DeFoliart 2002);;
Agonoscelis;versicolor (Fabr.);Pentatomidae;Hem Het;Sudan millet bug;Afr;"Sudan (Van Huis 2005, Tchibozo &
Eiza 2014, Kelemu et al 2015)";"syn A. pubescens
(Thunberg)";adult
Nezara;robusta Distant;Pentatomidae;Hem Het;;Afr;Malawi (Shaxson et al 1999,;;adult
Nezara;viridula (L.);Pentatomidae;Hem Het;;Afr;Nigeria (Agbidye et al 2009);;
Sphaerocoris sp.;;Scutelleridae;Hem Het;;Afr;Malawi (DeFoliart 2002);;adult
Encosternum;delegorguei Spin.;Tessaratomidae;Hem Het;edible stink bug;Afr;"South Africa (Faure, 1944; Dzerefos et al 2009), Zimbabwe (Chavanduka, 1976; Bodenheimer,
1951; Dube et al 2013), Swaziland,";Natalicola delegorguei Spin. SYN;adult
Haplosterna;delegorguei (Spin.) syn;Tessaratomidae;Hem Het;edible stink bug;Afr.;South Africa (Dzerefos et al 2009);see Encosternum;
Natalicola;delegorguei (Spin.) syn;Tessaratomidae;Hem Het;edible stink bug;Afr;"South Africa (Faure, 1944),
Zimbabwe (Chavanduka, 1976;";"see Encosternum
delegorguei Spin.";
Natalicola;pallidus (Westwood);Tessaratomidae;Hem Het;;Afr;Zimbabwe (Weaving, 1973);;
Cercopidae gen.;;Cercopidae;Hem Hom;;Afr;D.R. Congo (DeFoliart 2002);;
Afzeliada;afzelii Stål;Cicadidae;Hem Hom;;Afr;D.R. Congo (Malaisse, 1997);;
Afzeliada;duplex Diabola;Cicadidae;Hem Hom;;Afr;D.R. Congo (Malaisse, 1997);;
Afzeliada sp.;;Cicadidae;Hem Hom;;Afr;Congo (Nkouka, 1987, Hoare 2007);;adult
Ioba;horizontalis Karsch;Cicadidae;Hem Hom;;Afr;D.R. Congo (Malaisse, 1997);;
Ioba;leopardina Distant;Cicadidae;Hem Hom;;Afr;"D.R. Congo (Malaisse, 1997), Zambia (Mbata, 1995), Zimbabwe
(Chavanduka, 1976; Malaisse, 1997;";;adult
Ioba sp.;;Cicadidae;Hem Hom;;Afr;Malawi (DeFoliart 2002);;adult
Monomatapa;insignis Distant;Cicadidae;Hem Hom;;Afr;"Botswana (Roodt, 1993) Botswana
(Gardiner & Gardiner, 2003)";;adult
Monomotapa sp.;;Cicadidae;Hem Hom;;Afr;Malawi (DeFoliart 2002);;adult
Munza;furva Distant;Cicadidae;Hem Hom;;Afr;D.R. Congo (Malaisse, 1997);;
Orapa sp.;;Cicadidae;Hem Hom;;Afr;"Botswana (Roodt, 1993); Malawi";;adult
Platypleura;adouma Distant;Cicadidae;Hem Hom;;Afr;Congo (Nkouka, 1987, Hoare 2007);;adult
Platypleura;stridula (L.);Cicadidae;Hem Hom;;Afr;Zambia (Mbata, 1995);;adult
Platypleura sp.;;Cicadidae;Hem Hom;;Afr;Malawi (DeFoliart 2002);;adult
Pycna sp.;;Cicadidae;Hem Hom;;Afr;Malawi (DeFoliart 2002);;adult
Sadaka;radiata (Karsch);Cicadidae;Hem Hom;;Afr;D.R. Congo (Malaisse, 1997);;
Ugada;giovanninae Boulard;Cicadidae;Hem Hom;;Afr;Congo (Nkouka, 1987, Hoare 2007);;adult
Ugada;limbalis (Karsch);Cicadidae;Hem Hom;;Afr;"Congo (Nkouka, 1987), D.R. Congo
(Malaisse, 1997), Zambia (Mbata,";;adult
Ugada;limbata (F.);Cicadidae;Hem Hom;;Afr;Congo (DeFoliart 2002, Hoare 2007);;adult
Ugada;limbimacula (Karsch);Cicadidae;Hem Hom;;Afr;"Congo (Nkouka, 1987, Hoare 2007),
DR Congo (Malaisse, 1997)";;adult
Flatida;rosea Melichar;Flatidae;Hem Hom;;Afr;Madagascar (Decary, 1937;;secration
Phromnia;rubra Signoret syn;Flatidae;Hem Hom;;Afr;Madagascar (Decary, 1937);see Flatida rosea;
Pyrops;tenebrosa Fabr. syn;Fulgoridae;Hem Hom;;Afr;Madagascar (Decary, 1937);see Zanna tenebrosa;
Zanna;tenebrosa Fabr.;Fulgoridae;Hem Hom;;Afr;Madagascar (Decary, 1937);Pyps tenebrosa F. syn;
Arytaina syn;mopani Pettey;Psyllidae;Hem Hom;;Afr;Botswana (Sekhwela, 1988),;see Retroacizzia;
Psylla sp.;;Psyllidae;Hem Hom;;Afr;South Africa (DeFoliart 2002);;secration
Retroacizzia;mopani (Pettey);Psyllidae;Hem Hom;;Afr;Botswana (Sekhwela, 1988),;syn Arytaina;
Apis;mellifera adansoni Latr.;Apidae;Hym;honey bee;Afr;"D.R. Congo (Takeda, 1990), Tanzania (Harris, 1940), Zambia
(Mbata, 1995) CAR (Bahuchet 1985)";;
Apis;mellifera mellifera L.;Apidae;Hym;honey bee;Afr;"Senegal (Gessain & Kinzler, 1975), Zambia (Mbata, 1995) Tanzania,
D.R. Congo (DeFoliart 2002)
Botswana, Nigeria, Siera Leone,";;larva
Apotrigona;nebulata (Smith);Apidae;Hym;stingless bee;Afr;CAR (Bahuchet 1985);syn Meliponula nebulata;
Axestotrigona syn;erythra (Schletterer);Apidae;Hym;stingless bee;Afr;CAR (Bahuchet 1985);see M. ferruginea;
Axestotrigona;ferruginea (Lep.);Apidae;Hym;stingless bee;Afr;CAR (Bahuchet 1985);syn Meliponula ferruginea, Axestotrigona erythra (Schl.);
Axestotrigona;richardsi (Darchen);Apidae;Hym;stingless bee;Afr;D.R. Congo (DeFoliart 2002);syn Meliponula richardsi, Trichoma richardsi;
Axestotrigona;tescorum (Cockerell) syn;Apidae;Hym;stingless bee;Afr;CAR (Bahuchet 1985);"see Axestotrigona
ferruginea";
Dactylurina;staudingeri (Gribodo);Apidae;Hym;stingless bee;Afr;D.R. Congo (Takeda, 1990);;
Hypotrigona;gribodoi (Magretti);Apidae;Hym;stingless bee;Afr;D.R. Congo (Takeda, 1990) CAR;syn Trigona braunsi;
Hypotrigona;ruspolii (Magretti);Apidae;Hym;stingless bee;Afr;Senegal (Gessain & Kinzler, 1975);syn Trigona ruspolii Magr.;
Meliplebeia syn;"beccarii africana
Stadelman";Apidae;Hym;stingless bee;Afr;CAR (Bahuchet 1985);;
Meliplebeia;beccarii (Gribodo);Apidae;Hym;stingless bee;Afr;CAR (Bahuchet 1985);syn divers;
Meliplebeia;gambiana Moure;Apidae;Hym;stingless bee;Afr;Senegal (Gessain & Kinzler, 1975);syn Meliponula ferruginea gambiensis Moure;honey
Meliponula;bocandei (Spin.);Apidae;Hym;stingless bee;Afr;D.R. Congo (DeFoliart 2002) CAR;;larva
Meliponula syn;ferruginea (Lep.);Apidae;Hym;stingless bee;Afr;CAR (Bahuchet 1985);see A. ferruginea (Lep.) syn Axestotrigona erythra Schl. Trigona tescorum Cock.;
Meliponula check;"ferruginea gambiensis
Moure syn";Apidae;Hym;stingless bee;Afr;Senegal (Gessain & Kinzler, 1975);"see Meliplebeia gambiana
Moure";
Meliponula syn;lendliana (Friese);Apidae;Hym;stingless bee;Afr;D.R. Congo (DeFoliart 2002);"see Plebeiella lendliana
syn Trigona lendliana";larva
Meliponula syn;nebulata (Smith);Apidae;Hym;stingless bee;Afr;CAR (Bahuchet 1985);"see Apotrigona, syn
Trigona nebulata Sm.";
Meliponula syn;richardsi Darchen;Apidae;Hym;stingless bee;Afr;D.R. Congo (DeFoliart 2002);see Axestotrichona;larva
Plebeiella;lendliana (Friese);Apidae;Hym;stingless bee;Afr;D.R. Congo (DeFoliart 2002);syn Meliponella lendliana;
Trigona check;occidentalis Darchen;Apidae;Hym;stingless bee;Afr;Senegal (Gessain & Kinzler, 1975);"T. occidentalis is
Neotropical";
Trigona check;senegalensis Darchen;Apidae;Hym;stingless bee;Afr;Senegal (Gessain & Kinzler, 1975);;
Camponotus sp.;;Formicidae;Hym;;Afr;Botswana (Nonaka, 1996);;
Carebara;lignata (species group);Formicidae;Hym;;Afr;"Southern Africa check, Zambia,
South Africa, Zimbabwe, Botswana, Sudan, Mozambique, Namibia,";;
Carebara;vidua Smith;Formicidae;Hym;African thief ant;Afr;"South Africa (Bodenheimer, 1951; Quin, 1959), Zambia (Mbata, 1995;
Silow, 1983), Zimbabwe
(Chavanduka, 1976; Jackson,1954 in Gelfand, 1971) Malawi, D.R.";;abdomen flying sexual
Dorylus (s.g. Anomma);nigricans Illiger;Formicidae;Hym;driver ants;Afr;Cameroun ref. ? (van Huis 2003);;pupa
Oecophylla;longinoda (Latr.);Formicidae;Hym;weaver ants;Afr;"D.R. Congo (DeFoliart 2002)
Cameroun, Tchad (Kelemu et al";"O. smaragdina longinoda
(Latr.)";
Oecophylla sp.;;Formicidae;Hym;weaver ants;Afr;"Cameroun, Congo (Bani, 1995;";;
Sceliphron sp.;;Sphecidae;Hym;;Afr;D.R. Congo (DeFoliart 2002);fly nests;
Polistes;hebraeus F.;Vespidae;Hym;;Afr;Mauritius, Madagascar (Kelemu et al;;
Synagris sp.;;Vespidae;Hym;;Afr;D.R. Congo (DeFoliart 2002);fly nests;wasp brood
Vespula sp.;;Vespidae;Hym;;Af;Mauritius, Madagascar (Kelemu et al;;
Hodotermes;"mossambicus (Hagen)
syn";Hodotermitidae;Isopt;harvester termite;Afr;"Botswana (Grivetti, 1979; Nonaka, 1996)";see Macrotermes michaelseni (Sjöstedt);
Hodotermes sp.;;Hodotermitidae;Isopt;;Afr;South Africa (DeFoliart 2002);;
Microhodotermes;viator (Latr.);Hodotermitidae;Isopt;;Afr;South Africa (Bodenheimer, 1951);;
Coptotermes sp.;;Rhinotermitidae;Isopt;;Afr;Kenya (Ayieko & Nyumba 2009);;winged adults
Acanthotermes sp.;;Termitidae;Isopt;;Afr;"Tanzania (Bodenheimer, 1951;";;
Apicotermes sp.;;Termitidae;Isopt;;Afr;CAR (Hoare 2007);;
Bellicositermes syn;natalensis (Haviland);Termitidae;Isopt;;Afr;CAR (Hoare 2007);"see Macrotermes
natalensis";
Bellicositermes syn;;Termitidae;Isopt;;Afr;D.R. Congo (DeFoliart 2002), CAR (Hoare 2007);see Macrotermes;winged adults soldiers
Cubitermes spp.;;Termitidae;Isopt;;Afr;Congo (DeFoliart 2002, Hoare 2007);;all stages
Macrotermes;amplus (Sjöstedt);Termitidae;Isopt;;Afr;D.R. Congo (DeFoliart 2002);"syn M. muelleri (Sjöstedt),
M. gabonensis (Sjöstedt)";
Macrotermes;bellicosus (Smeathman);Termitidae;Isopt;;Afr;"CAR (Roulon-Doko, 1998), Congo (Nkouka, 1987, Hoare 2007), Malaisse (1997), D.R. Congo (Bequaert, 1921), Nigeria (Fasoranti & Ajiboye, 1993) Kenya (Ayieko & Nyambuga 2009, Kinyuru et al 2012) Cameroun, Ivory Coast, Sao Tomé,
Guinée, Togo, Liberia, G. Bissau,";;all stages
Macrotermes;falciger (Gerstäcker);Termitidae;Isopt;;Afr;"Benin (Tchibozo et al 2005, Riggi et al 2013) Zambia (Mbata, 1995,
Silow, 1983, Malaisse 1997),
Zimbabwe (Chavanduka, 1976) South Africa (Bodenheimer, 1951)";syn Macrotermes swaziae (Fuller), see picture in Tchibozo 2015;winged adult soldier queen
Macrotermes;michaelseni (Sjöstedt);Termitidae;Isopt;;Afr;"Botswana (Grivetti, 1972, Nonaka 1996) East and Southern Africa
(Kelemu et al 2015) Malawi";syn Macrotermes mossambicus (Hagen);
Macrotermes;"mossambicus (Hagen)
syn";Termitidae;Isopt;;Afr;East and Southern Africa (Kelemu et al 2015);see Macrotermes michaelseni (Sjöstedt);
Genus;Species;Family;Order;"Common
names";"Faun
a";Distribution & References;Remarks;"Life
stages"
Macrotermes;muelleri (Sjöstedt) syn;Termitidae;Isopt;;Afr;D.R. Congo (DeFoliart 2002);syn Termes gabonensis Sjöstedt;winged adult soldier
Macrotermes;natalensis (Haviland);Termitidae;Isopt;;Afr;"Zimbabwe (DeFoliart 2002) D.R. Congo (DeFoliart 2002) Nigeria
(Banjo et al 2006) Cameroun,";? Bellicositermes;winged adult queen
Macrotermes;subhyalinus (Rambur);Termitidae;Isopt;;Afr;"Angola (Santos Oliveira et al., 1976), Zambia (Mbata, 1995; Silow, 1983; Malaisse 1997) Kenya (Kinyuru et al
2012), Togo, Burundi (Kelemu et al";;adult
Macrotermes;swaziae (Fuller) syn;Termitidae;Isopt;;Afr;South Africa (Bodenheimer, 1951);"see Macrotermes falciger
(Gerst.)";
Macrotermes;vitrialatus (Sjöstedt);Termitidae;Isopt;;Afr;"Zambia (Mbata, 1995; Silow, 1983)";;winged adult
