Macrotermes sp.;;Termitidae;Isopt;;Afr;"D.R. Congo (Takeda, 1990, Hoare 2007), Tanzania (Bodenheimer, 1951; Harris, 1940), Zimbabwe (Jackson,1954 in Gelfand, 1971)
Malawi (DeFoliart 2002), Zambia,";;winged adults soldiers
Odontotermes;badius (Haviland);Termitidae;Isopt;;Afr;"South Africa (Quin, 1959), Zambia
(Silow, 1983), Kenya (Ayieko &";;winged adult
Odontotermes;capensis (DeGeer);Termitidae;Isopt;;Afr;South Africa (DeFoliart 2002);"syn Termes capensis
DeGeer";
Odontotermes;kibarensis (Fuller);Termitidae;Isopt;;Afr;Uganda (Figueirêdo et al 2015);;
Odontotermes;"magdalenae Grassë &
Noirot";Termitidae;Isopt;;Afr;Cameroun (Seignobos et al 1996);;
Odontotermes sp.;;Termitidae;Isopt;;Afr;Zimbabwe (Weaving, 1973) Kenya;;
Protermes sp.;;Termitidae;Isopt;;Afr;CAR (Hoare 2007);;
Pseudacanthotermes;militaris (Hagen);Termitidae;Isopt;;Afr;"Angola (Silow, 1983) Kenya (Kinyuru
et al 2012) Tanzania, Uganda";;adult
Pseudacanthotermes;spiniger (Sjöstedt);Termitidae;Isopt;;Afr;"D.R. Congo (Bequaert, 1921), Zambia (Silow, 1983) Kenya
(Kinyuru et al 2012) Uganda";;adult
Pseudacanthotermes;;Termitidae;Isopt;;Afr;Tanzania (DeFoliart 2002);;winged
Termes syn;capensis DeGeer;Termitidae;Isopt;;Afr;South Africa (DeFoliart 2002);"see Odontotermes
capensis";
Termes sp.;;Termitidae;Isopt;;Afr;"Tanzania (Bodenheimer, 1951;";;
Termes syn;gabonensis Sjöstedt syn;Termitidae;Isopt;;Afr;D.R. Congo (DeFoliart 2002);see Macrotermes muelleri Macrotermes amplus;winged adult soldier
Trinervitermes sp.;;Termitidae;Isopt;;Afr;South Africa (Tommaseo Ponzetta,;Prehistoric;
Termitidae gen.;;Termitidae;Isopt;;Afr;Mali (Tchibozo 2015);;
Ixodidae gen.;;Ixodidae;Ixodida;;Afr;Benin (Riggi et al 2013);;
Dactyloceras;lucina (Drury);Brahmaeidae;Lep;;Afr;"D.R. Congo (Malaisse 2005), Zambia, South Africa, Cameroun,
Congo, Angola, Gabon, Sierra";;larva
Ceratocampidae gen.;;Ceratocampidae;Lep;;Afr;D.R. Congo (DeFoliart 2002);;
Leuconodes;laisalis (Walker);Crambidae;Lep;egg fruit borer;Afr;Nigeria (Okore et al 2014);"syn Daraba laisalis
(Walker) Sceloides laisalis (Walker)";larva
Amerila;"madagacariensis
(Boisduval)Erebidae";Erebidae Arctiinae;Lep;;Afr;Madagascar (Decary, 1937);;
Hemijana;variegata Rothschild;Eupterotidae;Lep;;Afr;South Africa (Egan et al 2014);;larva
Striphnopteryx;edulis (Boisduval);Eupterotidae;Lep;edible monkey;Afr;Southern Africa (Bergier, 1941);;
Coeliades;libeon (Druce);Hesperiidae;Lep;;Afr;"Congo (Paulian 1963, Bani, 1995;
Nkouka, 1987, Hoare 2007) D.R.";;
Bombycomorpha;pallida Distant;Lasiocampidae;Lep;pepper tree moth;Afr;South Africa (Quin, 1959),;;larva
Borocera;cajani Vinson;Lasiocampidae;Lep;wild silkworm;Afr;"Madagascar (Decary, 1937) as
Hysoïdes (DeFoliart 2002) as";;larva pupa
Borocera;"madagascariensis
Boisduval";Lasiocampidae;Lep;;Afr;Madagascar (Decary, 1937);;pupa
Catalebeda;jamesoni Bethune-Baker;Lasiocampidae;Lep;"Jameson's cream
spot";Afr;Zambia (Silow, 1976);;
Gonometa;postica Walker;Lasiocampidae;Lep;dark chopper;Afr;"South Africa (Quin, 1959), Zambia
(Silow, 1976), Botswana (Yen 2015)";;pupa
Mimopacha;aff. knoblauchi Dew.;Lasiocampidae;Lep;;Afr;Central Africa (Silow, 1976);;
Pachymeta;robusta Aurivillius;Lasiocampidae;Lep;Msasa moth;Afr;Zimbabwe (Bodenheimer, 1951);confusion? Brachiostegia in (Bodenheimer) is foodplant name for Brachyostegia. Is Pachymeta consumed?;
Pachypasa;bilinea Walker;Lasiocampidae;Lep;twin line lappet;Afr;Zambia (Silow, 1976);;
Hadraphe;ethiopica (Bethune-Baker);Limacodidae;Lep;;Afr;Zambia (Malaisse 2005);;larva
Limacodidae gen.;;Limacodidae;Lep;slug moths;Afr;"D.R. Congo (Malaisse & Parent,
1980) Zimbabwe (DeFoliart 2002)";;larva
Rhypopteryx;poecilanthes (Collenette);Lymantriidae;Lep;;Afr;D.R. Congo (Latham 2003 2005,;;larva
Busseola;fusca (Fuller);Noctuidae;Lep;"African maize stalk
borer";Afr;Zambia (DeFoliart 2002);;larva
Helicoverpa;"armigera armigera
(Hübner)";Noctuidae;Lep;Afro-Asian bollworm;Afr;Zambia (DeFoliart 2002);syn Heliothis obsoleta;larva
Noctuidae gen.;;Noctuidae;Lep;;Afr;Congo (DeFoliart 2002);;larva
Nyodes;prasinodes Prout;Noctuidae;Lep;;Afr;D.R. Congo (Malaisse & Parent,;;larva
Prodenia sp.;;Noctuidae;Lep;;Afr;D.R. Congo (Malaisse 2005);;larva
Sphingomorpha;chlorea (Cramer);Noctuidae;Lep;sundowner moth;Afr;Zambia (Silow, 1976);;larva
Spodoptera;exempta (Walker);Noctuidae;Lep;African army worm;Afr;Zambia (Mbata, 1995);;larva
Spodoptera;exigua (Hübner);Noctuidae;Lep;lesser army worm;Afr;Zambia (Mbata, 1995);;larva
Anaphe;infracta Walsingham syn;"Notodontidae
Thaumetopoeinae";Lep;;Afr;"Tanzania (Bodenheimer, 1951;
Harris, 1940), Zambia (Silow, 1976)";see A. panda;
Anaphe;panda (Boisduval);Notodontidae Thaumetopoeinae;Lep;;Afr;"Tanzania (Bodenheimer, 1951; Harris, 1940) D.R. Congo (Malaisse & Parent, 1980; Takeda, 1990), Tanzania, Zimbabwe (DeFoliart
2002) Nigeria (Banjo et al 2006),";"see picture in Tchibozo syn
A. infracta Walsingham";larva
Anaphe;reticulata Walker;"Notodontidae
Thaumetopoeinae";Lep;;Afr;Nigeria (Banjo et al 2006);;larva
Anaphe;venata Butler;Notodontidae Thaumetopoeinae;Lep;African silkworm;Afr;"Nigeria (Ashiru, 1988), Zambia (Silow, 1976), CAR, (Hoare, 2007)
Ivory Coast, Sierra Leone, Guinée,";see picture in Tchibozo 2015;larva
Anaphe sp.;;Notodontidae Thaumetopoeinae;Lep;;Afr;"Congo (Bani, 1995), D.R. Congo (Latham, 1999 2003, Takeda, 1990,
Hoare 2007), Equatorial Africa";;larva
Antheua;insignata Gaede;Notodontidae;Lep;;Afr;"D.R. Congo (Malaisse & Parent,
1980, Latham 2003, Hoare  2007 )";;larva
Antheua sp.;;Notodontidae;Lep;;Afr;D.R. Congo (Latham 2003, 2005);;
Antheua sp.;;Notodontidae;Lep;;Afr;D.R. Congo (Tchibozo 2015);4 spp. ? see pictures in Tchibozo 2015;larva
Cerurina;c.f. marshalli (Hampson);Notodontidae;Lep;;Afr;CAR (Malaisse 2005);;
Desmeocraera sp.;;Notodontidae;Lep;;Afr;Zambia (Silow, 1976);;larva
Drapetides;uniformis (Swinhoe);Notodontidae;Lep;lobed prominent;Afr;D.R. Congo (Malaisse & Parent,;;larva
Elaphrodes;lactea (Gaede);Notodontidae;Lep;;Afr;"D.R. Congo (Malaisse, 1997;
Malaisse & Parent, 1980, Latham";;larva
Epanaphe;carteri (Walsingham);"Notodontidae
Thaumetopoeinae";Lep;;Afr;"D.R. Congo (Malaisse 2005),
Zambia, Angola, Gabon, Sierra";;larva
Hypsoïdes;diego Coquerel;Notodontidae;Lep;;Afr;Madagascar (Decary, 1937);;
Hypsoïdes;radama Coquerel;Notodontidae;Lep;;Afr;Madagascar (Decary, 1937);syn Bombyx radama;pupa
Hypsoïdes syn;cajani Vinson;Notodontidae;Lep;wild silkworm;Afr;Madagascar (Decary, 1937);Borocera cajani Vinson;
Nephele;comma Hopffer;Notodontidae;Lep;;Afr;Zambia (Silow, 1976);;
Notodontidae spp. (2);;Notodontidae;Lep;;Afr;D.R. Congo (Malaisse & Parent,;;
Notodontidae spp. (3);;Notodontidae;Lep;;Afr;D.R. Congo (Malaisse & Parent,;;
Notodontidae sp.;;Notodontidae;Lep;;Afr;CAR, D.R. Congo (Tchibozo 2015);"see picture in Tchibozo
2015";larva
Rhenea;mediata Walker;Notodontidae;Lep;;Afr;D.R. Congo (Malaisse & Parent,;;larva
Cymothoe;aramis Hewitson;Nymphalidae;Lep;;Afr;CAR (Hoare 2007);Cymothe arunus is misp.;larva
Cymothoe;caenis (Drury);Nymphalidae;Lep;;Afr;"CAR, D.R. Congo (Latham 2003,
2005. Hoare 2007)";"see picture in Tchibozo
2015";larva
Nymphalidae gen.;;Nymphalidae;Lep;;Afr;D.R. Congo (DeFoliart 2002);;larva
Papilio sp.;;Papilionidae;Lep;;Afr;CAR (Malaisse 2005);;larva
Clania syn;moddermanni Heylaerts;Psychidae;Lep;common bagworm;Afr;Equatorial Africa (Bergier, 1941);see Eumeta servina;
Deborrea;malgassa Heylaerts;Psychidae;Lep;Fangalabola;Afr;Madagascar (Decary, 1937);;pupa
Eumeta;cervina Druce;Psychidae;Lep;common bagworm;Afr;"Equatorial Africa (Bergier, 1941)
D.R. Congo, Cameroun, Congo, C.A.R., Angola, Gabon, Sierra";syn Clania moddermanni;larva
Eumeta;rougeoti Bourgogne;Psychidae;Lep;;Afr;D.R. Congo (DeFoliart 2002);;larva
Eumeta sp.;;Psychidae;Lep;;Afr;Congo (Tchibozo 2015);;larva
Antherina;suraka (Boisd.);Saturniidae;Lep;;Afr;Madascar (DeFoliart);;larva
Anthocera syn;monippe;Saturniidae;Lep;;Afr;Gabon (Bergier, 1941);"see Melanocera menippe
(Westw.)";larva
Anthocera syn;teffraria;Saturniidae;Lep;;Afr;Gabon (Bergier, 1941);see Bunaea alcinoë (Stoll);larva
Anthocera ssp. syn;;Saturniidae;Lep;;Afr;Gabon (Bergier, 1941;? Anthoaera;larva
Argema;mimosae (Boisduval);Saturniidae;Lep;African moonmoth;Afr;South Africa (Malaisse 2005);;larva
Athletes;gigas (Sonthonnax);Saturniidae;Lep;;Afr;D.R. Congo (Malaisse & Parent,;;larva
Athletes;semialba (Sonthonnax);Saturniidae;Lep;;Afr;D.R. Congo (Malaisse & Parent,;;larva
Bunaea;alcinoë (Stoll);Saturniidae;Lep;Common emperor;Afr;"Cameroun, D.R. Congo, Gabon, Zambia (Silow, 1976, Latham 2003), South Africa, Zimbabwe, Tanzania
(DeFoliart 2002), CAR (Hoare 2007),";;larva
Bunaea;aslauga Kirby;Saturniidae;Lep;;Afr;Tanzania (Malaisse 2005);;larva
Bunaea sp.;;Saturniidae;Lep;;Afr;Zimbabwe (DeFoliart 2002);;larva
Bunaea syn;caffraria (Stoll);Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse & Parent, 1980), Tanzania (Bodenheimer, 1951; Harris, 1940), Zimbabwe
(Chavanduka, 1976; Weaving,";see Bunaea alcinoë (Stoll);larva
Bunaeopsis;aurantiaca (Rothschild);Saturniidae;Lep;;Afr;"D.R. Congo (Leleup & Daems, 1969; Malaisse and Parent, 1980, Hoare
2007), Zambia (Silow, 1976) Congo";;larva
Bunaeopsis sp.;;Saturniidae;Lep;;Afr;D.R. Congo (Latham 2003, Hoare;;
Cinabra;hyperbius (Westwood);Saturniidae;Lep;"banded emperor
moth";Afr;"D.R. Congo (Malaisse & Parent,
1980, Hoare 2007), Zambia (Silow,";;larva
Cirina;forda (Westwood);Saturniidae;Lep;pallid emperor moth;Afr;"Burkina Faso, D.R. Congo (Latham, 1999 2003; Leleup & Daems, 1969;
Fromme, A. 2005, Hoare 2007), Zambia (Mbata, 2002) Congo (DeFoliart 2002) Nigeria (Banjo et al
2006), CAR (Hoare 2007), South";see picture in Tchibozo 2015, syn Imbrasia forda Westwood. see picture in Tchibozo 2015;larva
Cirina syn;butyrospermi (Vuillot);Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse & Parent, 1980), Mali (Bergier, 1941), Nigeria (Fasoranti & Ajiboye, 1993), South
Africa (Quin, 1959), Southern Africa";see Imbrasia;larva
Epiphora;bauhiniae (Guérin);Saturniidae;Lep;;Afr;D.R. Congo (Malaisse 2005);;larva
Goodia;kuntzei (Dewitz);Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse & Parent,
1980) Zimbabwe (DeFoliart 2002)";;larva
Gynanisa;ata Strand;Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse & Parent,
1980) Malawi, Zambia (DeFoliart";;larva
Gynanisa;maja (Klug);Saturniidae;Lep;;Afr;"Malawi (Munthali & Mughogho, 1997), Namibia (Oberprieler, 1995),
South Africa (Quin, 1959), Zambia";H. maja ata Strand ?;larva
Gynasia sp.;;Saturniidae;Lep;;Afr;Zimbabwe (DeFoliart 2002);;larva
Heniocha;apollonia (Cramer);Saturniidae;Lep;;Afr;South Africa (Malaisse 2005);;larva
Heniocha;dyops (Maassen);Saturniidae;Lep;;Afr;"Southern Africa (Marais, 1996; in";;larva
Heniocha;marnois (Rogenhofer);Saturniidae;Lep;;Afr;"Southern Africa (Marais, 1996; in
Illgner and Nell, 2000,  Malaisse";;
Holocerina;agomensis (Karsch);Saturniidae;Lep;;Afr;Zambia (Silow, 1976);;larva
Imbrasia;alopia (Westwood);Saturniidae;Lep;;Afr;"D.R. Congo (Latham, Hoare 2007,
Tchibozo 2015), Congo, Guinée";"see picture in Tchibozo
2015";larva
Imbrasia;anthina (Karsch);Saturniidae;Lep;;Afr;"D.R. Congo (Latham 2003, Hoare
2007), Congo (Tchibozo 2015)";;larva
"Imbrasia (=Gonimbrasia)
syn";aurantiaca (Rothschild);Saturniidae;Lep;;Afr;"D.R. Congo (Leleup and Daems,
1969; Malaisse and Parent, 1980),";see Bunaeopsis aurantiaca;
Imbrasia (=Gonimbrasia);belina (Westwood);Saturniidae;Lep;;Afr;"Malawi (Munthali and Mughogho, 1997), South Africa (Bodenheimer, 1951; Quin, 1959), Southern Africa (Oberprieler, 1995), Zambia (Mbata,
1995; Silow, 1976), Zimbabwe";;larva
Imbrasia;butyrospermi Vuillot;Saturniidae;Lep;;Afr;"West, Central and Southern Africa (Kelemu et al 2015) D.R. Congo (Malaisse & Parent, 1980, Mali (Bergier, 1941), Nigeria (Fasoranti Ajiboye, 1993), South Africa (Quin,
1959, Southern Africa (Oberprieler,";syn Cirina butyrospermi;larva
Imbrasia;cytherea (Fabr.);Saturniidae;Lep;"pine tree emperor
moth";Afr;Zambia (Silow, 1976);;larva
Imbrasia;dione (Fabr.);Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse & Parent,
1980; Takeda, 1990, Hoare 2007)";;larva
Imbrasia;eblis Strecker syn;Saturniidae;Lep;;Afr;D.R. Congo (Latham, 2005);see Nudaurelia eblis;
Imbrasia;epimethea (Drury);Saturniidae;Lep;;Afr;"Congo (Bani 1995, Tchibozo 2015),
D.R. Congo (Kodondi et al., 1987; Malaisse & Parent, 1980, Latham 2003, Fromme, A. 2005, Hoare 2007), CAR (Hoare 2009), Zambia (Mbata, 2002; Silow, 1976),";syn I. nictitans ? Wikipedia. See picture in Tchibozo 2015;larva
Imbrasia;ertli Rebel;Saturniidae;Lep;;Afr;"Angola (Santos Oliveira et al., 1976),
D.R. Congo (Latham, 1999, Hoare 2007), Southern Africa (Oberprieler, 1995) Zimbabwe (DeFoliart 2002),";;larva
Imbrasia syn;forda Westwood;Saturniidae;Lep;;Afr;D.R. Congo (Latham 2005);see Cirina forda;
Imbrasia (=Gonimbrasia);hecate Rougeot;Saturniidae;Lep;;Afr;D.R. Congo (Malaisse & Parent,;;larva
Imbrasia;macrothyris (Rothchild);Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse & Parent,
1980, Latham 2003, Hoare 2007)";;larva
"Imbrasia (=Nudaurelia or
Gonimbrasia) syn";melanops (Bouvier);Saturniidae;Lep;;Afr;"D.R. Congo, (Latham 2003, Hoare
2007)";"see Nudaurelia melanops
(Bouvier)";larva
Imbrasia;nictitans (F.);Saturniidae;Lep;;Afr;D.R. Congo (Malaisse 2005);"syn Imbrasia hecate
(Rougeot) I. epimethea (Drury)";larva
Imbrasia;obscura Butler;Saturniidae;Lep;;Afr;"Congo (Bani, 1995), D.R. Congo,
CAR (Latham 2003, Hoare 2007)";"see picture in Tchibozo
2015";larva
Imbrasia (=Nudaurelia);oyemensis (Rougeot) syn;Saturniidae;Lep;;Afr;"Congo (Bani, 1995, Hoare 2007),
D.R. Congo (Kodondi et al., 1987, Hoare 2007), CAR (Hoare 2007)";see Nudaurelia melanops (Bouvier);larva
Imbrasia;petiveri Guérin-M.;Saturniidae;Lep;;Afr;"D.R. Congo (Latham 2003, Hoare
2007), Congo (Tchibozo 2015)";"see picture in Tchibozo
2015)";larva
Imbrasia;rectilineata (Sonthoanax);Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse, 1997;";;larva
Imbrasia;rhodina Rothsch.;Saturniidae;Lep;;Afr;D.R. Congo (Hoare 2007);;larva
Imbrasia;richelmanni Weymer;Saturniidae;Lep;;Afr;D.R. Congo (DeFoliart 2002);;larva
Imbrasia;rubra (Bouvier) syn;Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse & Parent,
1980), Zambia (Mbata, 2002)";see Imbrasia tyrrhea;
Imbrasia;truncata Aurivillius;Saturniidae;Lep;;Afr;"Congo (Bani, 1995), D.R. Congo
(Kodondi et al., 1987, Hoare 2007),";;larva
Imbrasia (=Gonimbrasia);tyrrhea (Cramer);Saturniidae;Lep;willow tree emperor;Afr;"Namibia (Oberprieler, 1995) D.R.
Congo (DeFoliart 2002, Hoare 2007)";syn Imbrasia rubra;larva
Imbrasia;wahlbergi Boisduval;Saturniidae;Lep;;Afr;"D.R. Congo (Latham 2003, Hoare
2007)";or I. wahlbergia groupe;larva
Imbrasia (=Gonimbrasia);zambesina (Walker);Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse & Parent,
1980), Zambia (Mbata, 2002; Silow,
1976; Fromme, A. 2005) South";;larva
Imbrasia sp.;;Saturniidae;Lep;;Afr;"D.R. Congo, Congo (DeFoliart 2002,
Hoare 2007) CAR (Tchibozo 2015)";"5 spp. see pictures in
Tchibozo 2015";larva
Lobobunaea;angasana (Westwood);Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse & Parent,
1980), Zambia (Silow, 1976)";;larva
Lobobunaea;christyi (Sharpe);Saturniidae;Lep;;Afr;Cameroun (Seignobos et al 1996);;larva
Lobobunaea;goodi (Holland);Saturniidae;Lep;;Afr;D.R. Congo (Takeda, 1990, Hoare;;larva
Lobobunaea;phaedusa (Drury);Saturniidae;Lep;;Afr;"D.R. Congo (Latham 1999, 2003,
Hoare 2007, Tchibozo 2015)";see picture in Tchibozo;larva
Lobobunaea;saturnus (F.);Saturniidae;Lep;;Afr;D.R. Congo, Zambia (DeFoliart;;larva
Lobobunaea sp.;;Saturniidae;Lep;;Afr;Zimbabwe (DeFoliart 2002);;larva
Melanocera;menippe (Westwood);Saturniidae;Lep;;Afr;Gabon (Bergier, 1941) South Africa;;larva
Melanocera;nereis (Rothchild);Saturniidae;Lep;;Afr;D.R. Congo (Hoare 2007);;larva
Melanocera;parva (Rothchild);Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse & Parent,
1980, Hoare 2007), Zambia (Silow,";;larva
Micragone;ansorgei (Rothchild);Saturniidae;Lep;;Afr;D.R. Congo (Malaisse, 1997),;;larva
Micragone;cana (Aurivillius);Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse and Parent,
1980) South Africa (DeFoliart 2002)";;larva
Micragone;herilla (Westwood);Saturniidae;Lep;;Afr;Cameroun (Bodenheimer, 1951);;larva
Micragone sp.;;Saturniidae;Lep;;Afr;Equatorial Africa (Bergier, 1941);;larva
Nudaurelia;eblis (Strecker);Saturniidae;Lep;;Afr;D.R. Congo (Latham 2005);syn Imbrasia eblis Strecker;larva
Nudaurelia;melanops (Bouvier);Saturniidae;Lep;;Afr;D.R. Congo (Kelemu et al 2015, Tchibozo 2015) CAR, Congo, Guinée (Tchibozo 2015);syn Imbrasia oyemensis (Rougeot). See picture in Tchibozo 2015;
Pseudantheraea;discrepans (Butler);Saturniidae;Lep;;Afr;"D.R. Congo (Leleup & Daems, 1969;
Silow, 1976; Takeda, 1990) Congo";;larva
Pseudantheraea syn;arnobia (Westwood);Saturniidae;Lep;;Afr;D.R. Congo (Hoare 2007);see P. discrepans;
Pseudobunaea;irius (F.);Saturniidae;Lep;;Afr;Namibia (Malaisse 2005);;larva
Pseudobunaea sp.;;Saturniidae;Lep;;Afr;Zimbabwe (DeFoliart 2002);;larva
Rohaniella;"pygmaea (Maassen &
Weyding)";Saturniidae;Lep;;Afr;Namibia (Malaisse 2005);;larva
Saturnia;marchii !! check;Saturniidae;Lep;;Afr;Gabon (Bergier, 1941);;
Saturnia sp.not African!;;Saturniidae;Lep;;Afr;D.R. Congo (Takeda, 1990, Hoare;;
Tagoropsis;flavinata (Walker);Saturniidae;Lep;;Afr;D.R. Congo (Malaisse & Parent,;;larva
Tagoropsis;natalensis Felder;Saturniidae;Lep;;Afr;D.R. Congo (Malaisse 2005);;larva
Tagoropsis sp.;;Saturniidae;Lep;;Afr;Madagascar (DeFoliart 2002);;pupa
Urota;sinope (Westwood);Saturniidae;Lep;;Afr;"D.R. Congo (Malaisse & Parent, 1980, Hoare 2007), Gabon (Bergier, 1941), Southern Africa, South Africa
(DeFoliart 2002), Zimbabwe,";;larva pupa
Usta;"terpsichore (Maassen and
Weymer)";Saturniidae;Lep;;Afr;"Angola (Santos Oliveira et al., 1976),
D.R. Congo (Malaisse & Parent,";;larva
Usta;"wallengrennii (Felder &
Felder)";Saturniidae;Lep;;Afr;Namibia (Oberprieler, 1995);;
Acherontia;atropos (L.);Sphingidae;Lep;"Dead's head hawk
moth";Afr;"D.R. Congo (Latham 2003, Hoare
2007)";;larva
Agrius;convolvuli (L.);Sphingidae;Lep;"convolvulus hawk
moth";Afr;"Botswana (Nonaka, 1996), South
Africa (Quin, 1959), Zambia (Silow,";"syn Herse convolvuli (L.)
syn";larva
Coelonia;fulvinotata (Butler);Sphingidae;Lep;;Afr;CAR (Malaisse 2005);;larva
Hippotion;eson (Cramer);Sphingidae;Lep;;Afr;D.R. Congo (Malaisse 2005);;larva
Hippotion sp.;;Sphingidae;Lep;;Afr;CAR (Malaisse 2005);;larva
Lophostethus;dumolinii (Angas);Sphingidae;Lep;;Afr;CAR (Malaisse 2005), Botswana;;larva
Nephele;comma Hopffer;Sphingidae;Lep;;Afr;Zambia (DeFoliart 2002);;
Platysphinx;stigmatica (Mabille);Sphingidae;Lep;;Afr;"Trop. Africa (Malaisse 2005) D.R. Congo, Zambia, Congo, CAR, Sierra
Leone, Sao Tomé, E. Guinée,";;
Platysphinx sp.;;Sphingidae;Lep;;Afr;D.R. Congo (Hoare 2007);;
Sphingidae gen.;;Sphingidae;Lep;;Afr;Madagascar (DeFoliart 2002);;larva
Trithemis;arteriosa (Burm.);Libellulidae;Odonata;;Afr;D.R. Congo (Malaisse, 1997);;
Odonata gen. larvae;;Odonata fam;Odonata;;Afr;Nigeria (Bodenheimer, 1951);;
Odonata gen.;;Odonata fam;Odonata;;Afr;Cameroun (Seignobos et al 1996);;adult
Acanthacris;ruficornis (Fabr.);Acrididae;Orth;;Afr;"Sahel, D.R. Congo (Hoare 2007), CAR (Hoare 2007), Congo (Bani, 1995, Nkouka, 1987),  Niger (Lévy- Luxereau, 1980), Zambia (Mbata, 1995), Zimbabwe (Chavanduka,
1976) Malawi (Shaxson et al 1999,";;adult
Acanthacris;ruficornis citrina (Serville);Acrididae;Orth;;Afr;"Benin (Riggi et al 2013) Cameroun (Barreteau, 1999) CAR (Bahuchet
1985) Niger, Mali, Burkina Faso,";;adult
Acorypha;clara (Walker);Acrididae;Orth;;Afr;Cameroun (Barreteau, 1999);;
Acorypha;glaucopsis (Walker);Acrididae;Orth;;Afr;Cameroun (Barreteau, 1999);;
Acorypha;nigrovariegata (Bolivar);Acrididae;Orth;;Afr;Zambia (Mbata, 1995);;adult
Acorypha;picta Krauss;Acrididae;Orth;;Afr;Cameroun (Barreteau, 1999);;
Acrida;bicolor (Thunberg);Acrididae;Orth;;Afr;"Cameroun (Barreteau, 1999),
Zimbabwe (Chavanduka, 1976)";;
Acrida;"sulphuripennis
(Gerstäcker)";Acrididae;Orth;;Afr;Zambia (Mbata, 1995);;adult
Acrida;turrita (L.);Acrididae;Orth;"long-headed
grasshopper";Afr;Cameroun (Barreteau, 1999);;
Acrida sp.;;Acrididae;Orth;;Afr;Togo, Guinée (Tchibozo 2015);;
Acridoderes;strenua (Walker);Acrididae;Orth;;Afr;Niger (Lévy-Luxereau, 1980), Sahel;;
Acrotylus;blondeli Saussure;Acrididae;Orth;;Afr;Niger (Lévy-Luxereau, 1980);;
Acrotylus;longipes (Charpentier);Acrididae;Orth;;Afr;Niger (Lévy-Luxereau, 1980);;
Afroxyrrhepes;procera (Burmeister);Acrididae;Orth;;Afr;Congo (Nkouka, 1987, Hoare 2007);;adult
Afroxyrrhepes sp.;;Acrididae;Orth;;Afr;Zambia (DeFoliart 2002);;adult
Aiolopus;"thalassinus thalassinus
(F.)";Acrididae;Orth;;Afr;Togo (Tchibozo 2015);;
Anacridium;burri Dirsh & Uvarov;Acrididae;Orth;;Afr;Southern Africa (Malaisse, 1997);;
Anacridium;wernerellum (Karny);Acrididae;Orth;"Sudanese tree
locust";Afr;Niger (Lévy-Luxereau, 1980), Sahel;;
Anacridium;melanorhodon (Walker);Acrididae;Orth;Sahelian tree locust;Afr;"Cameroun (Barreteau, 1999),  Niger
(Lévy-Luxereau, 1980), Sahel,";;adult
Brachycrotaphus;tryxalicerus (Fischer);Acrididae;Orth;;Afr;Cameroun (Barreteau, 1999);;
Cardeniopsis;guttatus (Uvarov) syn;Acrididae;Orth;;Afr;Zambia (DeFoliart 2002);see C. nigropunctatus;
Cardeniopsis;nigropunctatus (Bolivar);Acrididae;Orth;;Afr;Zambia (DeFoliart 2002);"syn Cardeniopsis guttatus
(Uvarov)";adult
Cataloipus;cymbiferus (Krauss);Acrididae;Orth;;Afr;Cameroun (Barreteau, 1999);;
Cataloipus;fuscocoeruleipus Sjöstedt;Acrididae;Orth;;Afr;Sahel;;
Cataloipus sp;;Acrididae;Orth;;Afr;Mali (Tchibozo 2015);;
Catantops;spissus Walker;Acrididae;Orth;;Afr;Congo (DeFoliart 2002, Hoare 2007);"see Oxycantops spissus
(Walker)";
Catantops sp.;;Acrididae;Orth;;Afr;Zambia (DeFoliart 2002);;adult
Catantops syn;ornata Karny;Acrididae;Orth;;Afr;Zambia (DeFoliart 2002) ? as Catantops ornata (author?);see Eupropacris cylindricollis (Schaum);
Catantops syn;quadratus (Walker);Acrididae;Orth;;Afr;CAR (Bahuchet 1985);see Hadrolecocatantops quadratus;
Chirista;compta (Walker);Acrididae;Orth;;Afr;Congo (Nkouka, 1987, Hoare 2007);;adult
